	Input x	Input y	KS-d	p-value
158	('LCA', 'Brick  I  ionising radiation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
159	('LCA', 'Brick  I  resources  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
160	('LCA', 'Brick  E  ecosystem quality  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
161	('LCA', 'Brick  H  climate change ecosystems  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
162	('LCA', 'Brick  E  human toxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
163	('LCA', 'Brick  I  fossil depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
164	('LCA', 'Brick  E  agricultural land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
165	('LCA', 'Brick  I  climate change ecosystems  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
166	('LCA', 'Brick  H  natural land transformation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
167	('LCA', 'Brick  E  marine ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
168	('LCA', 'Brick  E  terrestrial ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
169	('LCA', 'Brick  acidification  CF [moles of ./kg]')	Alternative B	1.0	1.0825088224469026e-05
170	('LCA', 'Brick  eutrophication  CF [kg N/kg]')	Alternative B	1.0	1.0825088224469026e-05
171	('LCA', 'Brick  I  terrestrial acidification  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
172	('LCA', 'Brick  E  particulate matter formation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
173	('LCA', 'Brick  H  freshwater ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
174	('LCA', 'Brick  E  photochemical oxidant formation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
175	('LCA', 'Brick  E  resources  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
176	('LCA', 'Brick  H  human health  total  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
177	('LCA', 'Brick  E  fossil depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
178	('LCA', 'Brick  photochemical oxidation  CF [kg NOx-Eq/kg]')	Alternative B	1.0	1.0825088224469026e-05
179	('LCA', 'Brick  E  ozone depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
180	('LCA', 'Cement  H  particulate matter formation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
181	('LCA', 'Cement  E  freshwater eutrophication  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
182	('LCA', 'Cement  H  fossil depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
183	('LCA', 'Cement  I  photochemical oxidant formation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
184	('LCA', 'Cement  H  human toxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
185	('LCA', 'Cement  E  freshwater ecotoxicity  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
186	('LCA', 'Cement  I  metal depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
187	('LCA', 'Cement  E  urban land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
188	('LCA', 'Cement  H  metal depletion  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
189	('LCA', 'Cement  non carcinogenics  CF [kg toluen./kg]')	Alternative B	1.0	1.0825088224469026e-05
190	('LCA', 'Cement  I  agricultural land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
191	('LCA', 'Cement  H  urban land occupation  CF [points/kg]')	Alternative B	1.0	1.0825088224469026e-05
192	('LCA', 'Cement  ecotoxicity  CF [kg 2,4-D-./kg]')	Alternative B	0.9	0.00021650176448938054
